State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel
California,"1,256,600","410,700","1,703,200","201,600","1,314,600","10,100","1,500","16,900",0,"31,191,900","735,300","7,900"
New York,"131,300","92,300","314,000","54,300","591,100",400,100,0,0,"9,905,500","150,500","79,100"
Florida,"254,900","57,300","414,500","170,500","1,101,100",400,100,0,0,"16,136,500","351,800","96,100"
Texas,"230,100","55,300","445,100","460,700","2,315,400","1,300","1,300",0,0,"21,392,800","772,800","121,800"
Massachusetts,"73,800","43,800","187,300","21,300","285,000",200,0,0,0,"4,791,300","58,400","30,000"
Washington,"152,100","41,200","307,200","73,800","337,700",100,100,0,0,"5,583,000","274,200","46,700"
New Jersey,"134,800","40,900","174,200","27,800","392,100",300,0,0,0,"6,433,000","84,600","36,400"
Pennsylvania,"70,200","38,900","245,400","73,900","661,700",500,100,0,0,"8,886,400","192,100","41,800"
Colorado,"90,100","37,500","152,700","68,100","334,300",300,100,0,0,"4,508,800","203,400","46,500"
Illinois,"99,600","33,400","285,400","61,500","772,900",300,0,0,0,"8,560,300","170,200","59,600"
Oklahoma,"22,800","33,000","56,400","63,100","352,400","1,800",200,0,0,"3,567,500","145,700","45,000"
Maryland,"72,100","31,300","168,700","32,100","309,300",300,0,0,0,"4,327,800","86,900","31,500"
Michigan,"50,300","29,100","148,100","70,400","873,700",300,0,0,0,"7,129,600","174,500","49,400"
Oregon,"64,400","28,800","156,900","55,500","184,600",100,100,0,0,"3,074,300","217,000","51,000"
Virginia,"84,900","26,800","229,400","44,300","484,800",300,0,0,0,"6,670,000","152,800","30,200"
Arizona,"89,800","25,600","175,700","68,600","437,100",600,700,0,0,"5,469,000","197,700","64,200"
Ohio,"50,400","24,000","199,800","70,300","833,500",700,100,0,0,"8,881,400","196,200","60,900"
North Carolina,"70,200","23,700","210,600","80,200","655,000",300,100,0,0,"7,764,000","209,700","71,700"
Georgia,"92,400","22,700","175,300","92,500","719,400",300,200,0,0,"8,256,400","206,300","76,900"
Connecticut,"31,600","18,400","75,300","10,900","133,600",100,0,0,0,"2,612,600","42,300","20,900"
Minnesota,"37,100","16,100","124,500","52,700","516,400",100,0,0,0,"4,219,200","127,900","24,500"
Missouri,"26,900","13,900","113,900","70,400","575,500",900,100,0,0,"4,608,600","178,200","37,600"
Utah,"40,000","13,000","83,200","68,500","185,200","2,200",500,0,0,"2,499,600","158,000","26,000"
Indiana,"26,100","12,900","119,100","56,300","576,300",300,0,0,0,"5,166,200","156,400","58,500"
Wisconsin,"24,900","12,500","123,600","52,900","536,200",300,0,0,0,"4,604,700","147,500","26,400"
Tennessee,"33,200","11,000","113,300","53,100","509,000",200,100,0,0,"5,620,500","160,700","37,700"
Nevada,"47,400","10,600","69,600","27,200","125,600",200,100,0,0,"2,169,300","85,800","20,300"
South Carolina,"20,900","9,000","83,100","44,600","404,600",100,100,0,0,"4,325,000","110,100","44,900"
Maine,"7,400","7,600","33,600","12,000","104,500",0,0,0,0,"1,036,100","26,900","7,900"
Hawaii,"25,600","7,300","36,400","3,400","37,300",0,0,0,0,"951,000","15,400","3,700"
New Hampshire,"9,900","6,600","36,800","13,900","89,600",100,0,0,0,"1,185,300","29,200","12,300"
Iowa,"9,000","6,100","57,200","41,700","331,300",100,0,0,0,"2,545,400","105,000","57,500"
Alabama,"13,000","5,800","63,300","54,200","441,200",100,100,0,0,"4,102,200","127,000","29,000"
Vermont,"7,800","5,700","20,300","7,000","36,600",0,0,0,0,"496,000","14,700","5,000"
Kansas,"11,300","5,600","50,400","27,900","253,500",200,100,0,0,"2,168,600","87,400","16,100"
Kentucky,"11,600","5,600","67,100","36,900","361,200",300,0,0,0,"3,415,000","117,600","24,400"
Rhode Island,"6,400","5,100","22,100","3,100","41,900",0,0,0,0,"782,000","11,000","6,000"
New Mexico,"10,300","4,900","44,300","32,100","151,600",100,100,0,0,"1,597,600","88,500","22,900"
Idaho,"8,500","4,600","43,700","45,900","132,900",100,100,0,0,"1,568,600","138,600","31,600"
Louisiana,"8,200","4,000","40,200","64,200","380,100",100,0,0,0,"3,142,800","115,500","19,100"
Delaware,"8,400","3,800","22,900","5,100","63,900",0,0,0,0,"791,300","14,200","5,100"
Nebraska,"6,900","3,800","32,600","28,900","197,100",100,0,0,0,"1,600,400","76,100","25,300"
District of Columbia,"8,100","3,700","18,100",400,"16,800",100,0,0,0,"262,500","1,800",600
Arkansas,"7,100","3,200","37,000","37,000","276,700",200,0,0,0,"2,246,100","90,700","10,300"
Montana,"4,600","2,500","21,100","37,900","94,500",0,0,0,0,"780,700","69,600","10,800"
Mississippi,"3,600","2,000","28,200","34,900","295,200",100,0,0,0,"2,275,600","75,200","8,500"
West Virginia,"2,800","1,800","22,400","17,300","123,400",100,0,0,0,"1,281,500","46,400","15,200"
South Dakota,"1,700","1,300","11,900","21,500","98,800",0,0,0,0,"718,300","51,200","13,300"
Alaska,"2,700",900,"10,600","9,600","46,800",0,0,0,0,"454,300","29,800","5,100"
North Dakota,"1,000",800,"8,200","20,400","89,900",0,0,0,0,"625,300","44,600","7,200"
Wyoming,"1,100",800,"8,400","21,200","57,700",0,0,0,0,"489,100","60,900","13,700"
